Alpha,Straight Stave (matches stereo staves),Hybrid Sense,,,,,,Alpha,DCB Sense,Connectors J9 through J13 on Telem BB,,,,,,Alpha,Stereo Stave (matches straight staves),Hybrid Sense,,,,
Connector Telemetry BB,RJ45 Connector PPP,Label (red shell),Line,Wire No.,LVR ID - Connector,Power Location on PPP,,Connector Telemetry BB,Connector PPP,Label (red shell),Line,Wire No.,LVR ID - Connector,Power Location on PPP,,Connector Telemetry BB,Connector PPP,Label (red shell),Line,Wire No.,LVR ID - Connector,Power Location on PPP
J4,F11,F11-J4-1.2-4X,JP8 P2E LV Sense P,4,5 - J10,P4 - 2,,J12,G10,G10-J12-2.5-1,JD11_10 2V5 Sense P,4,16 - J10,P20 - 6,,J17,E9,E9-J17-1.2-4U,JP11 P2E LV Sense P,4,5 - J10,P1 - 2
J4,F11,F11-J4-1.2-4X,JP8 P2E LV Sense N,5,5 - J10,P4 - 10,,J12,G10,G10-J12-2.5-1,JD11_10 2V5 Sense N,5,16 - J10,P20 - 14,,J17,E9,E9-J17-1.2-4U,JP11 P2E LV Sense N,5,5 - J10,P1 - 10
J4,F11,F11-J4-1.2-4X,JP4 P2E LV Sense N,6,5 - J10,P5 - 10,,J12,G10,G10-J12-2.5-1,JD3_2 2V5 Sense N,6,16 - J10,P21 - 15,,J17,E9,E9-J17-1.2-4U,JP7 P2E LV Sense N,6,5 - J10,P2 - 10
J4,F11,F11-J4-1.2-4X,JP0 P2E LV Sense P,7,5 - J10,P6 - 2,,,,,,,,,,J17,E9,E9-J17-1.2-4U,JP3 P2E LV Sense P,7,5 - J10,P3 - 2
J4,F11,F11-J4-1.2-4X,JP0 P2E LV Sense N,8,5 - J10,P6 - 10,,,,,,,,,,J17,E9,E9-J17-1.2-4U,JP3 P2E LV Sense N,8,5 - J10,P3 - 10
,,,,,,,,,,,,,,,,,,,,,,
J5,G11,G11-J5-1.2-5X,JP1 P2E LV Sense P,1,7 - J10,P6 - 5,,J13,H10,H10-J13-2.5-2,JD7_6 2V5 Sense P,1,16 - J16,P20 - 3,,J18,F9,F9-J18-1.2-5U,JP2 P2E LV Sense P,1,7 - J10,P3 - 5
J5,G11,G11-J5-1.2-5X,JP1 P2E LV Sense N,2,7 - J10,P6 - 13,,J13,H10,H10-J13-2.5-2,JD7_6 2V5 Sense N,2,16 - J16,P20 - 11,,J18,F9,F9-J18-1.2-5U,JP2 P2E LV Sense N,2,7 - J10,P3 - 13
J5,G11,G11-J5-1.2-5X,JP1 P2W LV Sense P,3,7 - J10,P5 - 7,,J13,H10,H10-J13-2.5-2,JD5_4 2V5 Sense P,3,16 - J16,P24 - 4,,J18,F9,F9-J18-1.2-5U,JP2 P2W LV Sense P,3,7 - J10,P2 - 7
J5,G11,G11-J5-1.2-5X,JP5 P1W LV Sense P,4,7 - J16,P5 - 4,,J13,H10,H10-J13-2.5-2,JD9_8 2V5 Sense P,4,16 - J16,P23 - 4,,J18,F9,F9-J18-1.2-5U,JP6 P1W LV Sense P,4,7 - J16,P2 - 4
J5,G11,G11-J5-1.2-5X,JP5 P1W LV Sense N,5,7 - J16,P5 - 12,,J13,H10,H10-J13-2.5-2,JD9_8 2V5 Sense N,5,16 - J16,P23 - 12,,J18,F9,F9-J18-1.2-5U,JP6 P1W LV Sense N,5,7 - J16,P2 - 12
J5,G11,G11-J5-1.2-5X,JP1 P2W LV Sense N,6,7 - J10,P5 - 15,,J13,H10,H10-J13-2.5-2,JD5_4 2V5 Sense N,6,16 - J16,P24 - 12,,J18,F9,F9-J18-1.2-5U,JP2 P2W LV Sense N,6,7 - J10,P2 - 15
J5,G11,G11-J5-1.2-5X,JP1 P1W LV Sense P,7,7 - J16,P6 - 4,,J13,H10,H10-J13-2.5-2,JD1_0 2V5 Sense P,7,16 - J16,P24 - 12,,J18,F9,F9-J18-1.2-5U,JP2 P1W LV Sense P,7,7 - J16,P3 - 4
J5,G11,G11-J5-1.2-5X,JP1 P1W LV Sense N,8,7 - J16,P6 - 12,,J13,H10,H10-J13-2.5-2,JD1_0 2V5 Sense N,8,16 - J16,P24 - 9,,J18,F9,F9-J18-1.2-5U,JP2 P1W LV Sense N,8,7 - J16,P3 - 12
,,,,,,,,,,,,,,,,,,,,,,
J8,C10,C10-J8-1.2-8X,JP4 P1W LV Sense P,1,8 - J10,P5 - 1,,,,,,,,,,J21,I9,I9-J21-1.2-8U,JP7 P1W LV Sense P,1,8 - J10,P2 - 1
J8,C10,C10-J8-1.2-8X,JP4 P1W LV Sense N,2,8 - J10,P5 - 9,,,,,,,,,,J21,I9,I9-J21-1.2-8U,JP7 P1W LV Sense N,2,8 - J10,P2 - 9
J8,C10,C10-J8-1.2-8X,JP8 P1W LV Sense P,4,8 - J16,P4 - 1,,,,,,,,,,J21,I9,I9-J21-1.2-8U,JP11 P1W LV Sense P,4,8 - J16,P1 - 1
J8,C10,C10-J8-1.2-8X,JP8 P1W LV Sense N,5,8 - J16,P4 - 9,,,,,,,,,,J21,I9,I9-J21-1.2-8U,JP11 P1W LV Sense N,5,8 - J16,P1 - 9
J8,C10,C10-J8-1.2-8X,JP0 P1W LV Sense P,7,8 - J16,P6 - 1,,,,,,,,,,J21,I9,I9-J21-1.2-8U,JP3 P1W LV Sense P,7,8 - J16,P3 - 1
J8,C10,C10-J8-1.2-8X,JP0 P1W LV Sense N,8,8 - J16,P6 - 9,,,,,,,,,,J21,I9,I9-J21-1.2-8U,JP3 P1W LV Sense N,8,8 - J16,P3 - 9
